t,phase,uav_a,uav_b,distance_m
26.979,hover,2,3,1.4741772470246792
27.013,hover,2,3,1.4739610157581764
27.047,hover,2,3,1.47376374476425
27.081,hover,2,3,1.4735795382600905
27.115,hover,2,3,1.4734033350917848
27.149,hover,2,3,1.4732294874291831
27.183,hover,2,3,1.473051514552545
27.217,hover,2,3,1.472863486029708
27.251,hover,2,3,1.4726590712400829
27.285,hover,2,3,1.4724346798753216
27.319,hover,2,3,1.472191890745093
27.353,hover,2,3,1.4719346600268859
27.387,hover,2,3,1.4716687467558631
27.421,hover,2,3,1.4714016962470207
27.455,hover,2,3,1.4711411061913442
27.489,hover,2,3,1.4708903530249366
27.523,hover,2,3,1.4706358750348785
27.557,hover,2,3,1.4704174469176794
27.591,hover,2,3,1.4701879478428221
27.625,hover,2,3,1.469952773413142
27.659,hover,2,3,1.4697071554840868
27.693,hover,2,3,1.469447180623012
27.727,hover,2,3,1.4691699446647406
27.761,hover,2,3,1.4688744790265684
27.795,hover,2,3,1.4685622855562401
27.829,hover,2,3,1.4682348639143827
27.864,hover,2,3,1.4678755412789823
27.898,hover,2,3,1.4675399767799762
27.932,hover,2,3,1.467191875256603
27.966,hover,2,3,1.4668436674936518
28.0,hover,2,3,1.4664995854547758
28.034,hover,2,3,1.4661631726551774
28.068,hover,2,3,1.465836772305257
28.102,hover,2,3,1.4655245556368783
28.136,hover,2,3,1.4652248676195434
28.17,land,2,3,1.4649325606826946
28.204,land,2,3,1.4646482891816797
28.238,land,2,3,1.4643764385000884
28.272,land,2,3,1.4641183442788726
28.306,land,2,3,1.4638716267490437
28.34,land,2,3,1.4636347206825475
28.381,land,2,3,1.4634805992443107
28.415,land,2,3,1.4631508287250063
28.449,land,2,3,1.4629484910286341
28.483,land,2,3,1.462756806745816
28.517,land,2,3,1.4625774807112404
28.551,land,2,3,1.4624109887024241
28.585,land,2,3,1.4622591343998554
28.619,land,2,3,1.462124993331677
28.653,land,2,3,1.4620130544425034
28.687,land,2,3,1.46192385547021
28.721,land,2,3,1.4618548145931138
28.755,land,2,3,1.4617975766876752
28.789,land,2,3,1.4617429704985718
28.823,land,2,3,1.4616820936063417
28.858,land,2,3,1.461609463072133
28.892,land,2,3,1.4615294484445143
28.926,land,2,3,1.4614387597612153
28.96,land,2,3,1.4613404895408906
28.994,land,2,3,1.4612393083243973
29.028,land,2,3,1.4611380183963218
29.062,land,2,3,1.4610369970640316
29.096,land,2,3,1.4609373323910044
29.131,land,2,3,1.4608375843567951
29.165,land,2,3,1.4607429455530645
